Nome,Dataset,Licenza,Linklicenza,Fonte,Formato,Note
Report updated, https://raw.githubusercontent.com/emergenzeHack/ukrainehelp.emergenzehack.info_segnalazioni/main/issues.csv, CC-BY 4.0, https://creativecommons.org/licenses/by/4.0, http://ukrainehelp.emergenzehack.info, CSV, -
Report updated, https://raw.githubusercontent.com/emergenzeHack/ukrainehelp.emergenzehack.info_segnalazioni/main/issuesjson.json, CC-BY 4.0, https://creativecommons.org/licenses/by/4.0, http://ukrainehelp.emergenzehack.info, JSON, -
Report updated, https://raw.githubusercontent.com/emergenzeHack/ukrainehelp.emergenzehack.info_segnalazioni/main/issues.geojson, CC-BY 4.0, https://creativecommons.org/licenses/by/4.0, http://ukrainehelp.emergenzehack.info, GeoJSON, -
